Name,Aarea_hectare,Population,Traffic_low,Income_weekly_pay,Average_house_prices ,Life_expectancy,Good_physical_health_rate,Good_mental_health_rate,Average_attainment_8_score_per_pupil,Percentage_of_pupils_who_achieved_a_strong_9_5_pass,NVQ4_precent,NVQ3_precent,NVQ2_precent,NVQ1_precent,No_qualifications_precent
City of London,314.94,"10,938",128,!,809376.07,!,!,!,!,!,94.4,!,!,!,!
Barking and Dagenham,3779.93,"214,107",603,508.70,330850.61,59.13,0.82,0.58,50.50,49.30,37,17.6,12.3,10,11.9
Barnet,8674.84,"399,007",1618,574.90,574877.29,64.99,0.78,0.60,60.80,69.80,56.1,10.2,8.5,5.1,6.9
Bexley,6428.65,"249,301",964,586.60,378364.59,65.17,0.79,0.63,54.00,57.60,42.3,17.8,16.8,10.2,7.3
Brent,6428.65,"327,753",965,555.70,522416.27,65.58,0.83,0.56,53.70,56.30,51,12.7,10.8,5,7.5
Bromley,15013.49,"332,752",1368,666.60,478676.02,67.53,0.79,0.63,55.20,59.50,57.9,13,13.1,7.5,4.3
Camden,2178.93,"279,516",435,695.00,884055.44,65.68,0.80,0.52,53.10,54.60,66.8,13.4,5.3,6.7,5.8
Croydon,8649.44,"388,563",1285,613.30,407217.02,62.83,0.75,0.63,50.00,50.70,49.7,14.1,12.8,7.9,6.1
Ealing,5554.43,"340,341",1256,582.60,515679.40,63.34,0.82,0.58,53.60,58.70,65.7,8.4,7.4,3,7.3
Enfield,8220.02,"333,587",1603,521.50,432685.82,63.18,0.76,0.58,51.10,52.00,49.2,17.7,11.2,7.5,4.5
Greenwich,5044.19,"289,034",1144,618.30,409842.95,63.64,0.73,0.52,51.20,52.50,58.2,11.8,9.5,6.8,4.4
Hackney,1904.90,"280,941",436,576.80,596043.75,60.86,0.81,0.52,54.00,54.80,71.1,7.1,5,4.4,7
Hammersmith and Fulham,1715.41,"183,544",465,727.00,771329.77,64.36,0.87,0.58,58.10,65.40,74.4,8.2,6.9,2.1,2.3
Haringey,2959.84,"266,357",508,546.00,576527.57,63.78,0.84,0.51,51.40,53.60,56.2,12.9,10.2,5,3.7
Harrow,5046.33,"252,338",604,580.20,499745.53,62.85,0.86,0.51,54.80,58.20,57.7,13.7,14.4,4.4,3
Havering,11445.74,"260,651",1707,585.70,402471.45,64.22,0.77,0.63,52.20,54.90,37.1,19.6,13.9,12,7
Hillingdon,11570.06,"309,014",2233,594.80,440275.73,64.20,0.82,0.60,52.80,54.40,49.7,15.1,10.6,7,7.3
Hounslow,5658.54,"271,767",1494,567.20,429913.58,62.33,0.84,0.51,53.90,55.60,56.8,12.1,7.7,8.5,5.1
Islington,1485.67,"248,115",351,670.70,732284.16,63.36,0.85,0.49,52.20,54.10,67.5,8.2,7.2,2.8,6.7
Kensington and Chelsea,1238.38,"156,864",467,763.60,1394456.89,68.72,0.78,0.53,57.90,63.80,63.8,11.2,6.7,7.1,2.7
Kingston upon Thames,3726.12,"179,142",936,667.90,529652.48,69.52,0.87,0.53,61.40,71.60,65.2,11.9,9.5,5.8,2.9
Lambeth,2724.94,"321,813",706,681.20,541321.55,60.20,0.80,0.51,51.30,51.10,75.7,10,4.1,2.3,3.7
Lewisham,3531.71,"305,309",714,574.90,439427.79,63.91,0.76,0.53,49.10,48.30,66,6.8,7.8,7.4,6.1
Merton,3762.47,"206,453",617,592.10,581997.04,66.85,0.83,0.55,53.20,52.60,67.1,9.4,12.6,3.2,2.3
Newham,3857.81,"355,266",837,574.90,388008.13,62.04,0.79,0.61,54.50,54.20,57.6,11.2,9.2,5.8,6.1
Redbridge,5644.22,"305,658",1113,579.30,469192.15,62.26,0.76,0.57,56.80,63.70,51.8,14.6,10.4,5.4,7.5
Richmond upon Thames,5876.11,"198,141",785,704.50,749099.17,69.55,0.80,0.57,58.10,67.90,70,10.2,9,3.3,2.9
Southwark,2991.34,"320,017",672,637.80,516019.72,62.69,0.76,0.49,55.00,57.40,57.1,11.4,10.1,7.4,6.4
Sutton,4384.70,"207,707",693,576.90,410206.78,67.39,0.79,0.61,62.00,68.90,53.4,15.3,11.8,5.1,5.4
Tower Hamlets,2157.50,"331,969",804,685.20,440311.34,61.55,0.82,0.45,51.70,54.20,52,12.7,12.2,6.1,6.4
Waltham Forest,3880.79,"276,940",769,629.60,473703.10,65.59,0.85,0.51,51.50,50.40,60.3,10.6,11.9,5.9,3.5
Wandsworth,3522.02,"329,735",722,746.00,642082.99,65.77,0.86,0.63,52.20,55.90,70.3,9.8,9.1,2.3,1.4
City of Westminster,2203.00,"269,848",693,771.10,1049442.91,65.77,0.81,0.55,57.60,65.10,68.9,10.7,5,3.2,6.1
YEAR,,2021,2021,2021,2021,2018/20,2021,2020/21,2020/21,,2021,,,,